tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
IGREJA INTERNACIONAL DA GRACA DE DEUS,IGREJA DA GRACA,Organização Religiosa,2002.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA MATHIAS,Religião,Religião
IGREJA UNIVERSAL DO REINO DE DEUS,,Organização Religiosa,2002.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA SAO JORGE,Religião,Religião
IGREJA UNIVERSAL DO REINO DE DEUS,,Organização Religiosa,1984.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,CENTRO,Religião,Religião
IGREJA CATOLICA APOSTOLICA CARISMATICA,IGREJA CATOLICA APOSTOLICA CARISMATICA,Organização Religiosa,2012.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,CENTRO,Religião,Religião
FUNDACAO LOGOSOFICA EM PROL DA SUPERACAO HUMANA,,Fundação Privada,1994.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MARAPE,Educação e pesquisa,Outras formas de educação/ensino
ASSOCIACAO DOS APOSENTADOS E FUNCIONARIOS DO BANCO DO BRASIL - AAFBB,,Associação Privada,1991.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,CENTRO,Desenvolvimento e defesa de direitos,Outros
CRUZ VERMELHA BRASILEIRA,,Associação Privada,1970.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,CENTRO,Educação e pesquisa,Educação infantil
SUKYO MAHIKARI DO BRASIL,,Organização Religiosa,1979.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ENCRUZILHADA,Religião,Religião
SOCIEDADE MELHORAMENTOS DO BAIRRO DO CAMPO GRANDE,,Associação Privada,1983.0,,,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO BIBLICA E CULTURAL DE SANTOS,,Organização Religiosa,1982.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,JD.RADIO CLUBE,Religião,Religião
ASSOCIACAO DESPORTIVA CLASSISTA SANMELL PRAIA CLUBE,,Associação Privada,1982.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ENCRUZILHADA,Desenvolvimento e defesa de direitos,Outros
ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO,ESCOLA SUPERIOR DE ADVOCACIA - UNIDADE SANTOS,Associação Privada,2004.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,CENTRO,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ADESPA CLUBE,,Associação Privada,1973.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",CENTRO,Cultura e recreação,Esporte e recreação
ASSOCIACAO ESPIRITA TIRADENTES,,Associação Privada,1974.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
CENTRO ARIOSTO,ARIOSTO,Associação Privada,1983.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ESTUARIO,Religião,Religião
GRUPO ESCOTEIRO DO MAR D PEDRO II,,Associação Privada,1972.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
IGREJA CEM PORCENTO VIDA,IGREJA CEM PORCENTO VIDA - SANTOS,Associação Privada,1991.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,EMBARE,Religião,Religião
BANDA MUSICAL CARLOS GOMES,,Associação Privada,1971.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MARAPE,Desenvolvimento e defesa de direitos,Outros
GREMIO ESPORTIVO PRATICAGEM DE SANTOS,,Associação Privada,1983.0,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
ASSOCIACAO MUTUA DOS AJUDANTES E DESPACHANTES ADUANEIROS DE SANTOS,,Associação Privada,1973.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,CENTRO,Desenvolvimento e defesa de direitos,Outros
CENTRO DE RECUPERACAO DONA ADELAIDE,,Associação Privada,1973.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,MACUCO,Desenvolvimento e defesa de direitos,Outros
IGARATA CLUBE,,Associação Privada,1974.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",BOQUEIRAO,Cultura e recreação,Esporte e recreação
DIRETORIO ACADEMICO ARNALDO VIEIRA DE CARVALHO,D. A. ARNALDO VIEIRA DE CARVALHO - MEDICINA SANTOS,Associação Privada,1974.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS ADMINISTRADORES DE EMPRESAS DE SANTOS,ADESAN,Associação Privada,1974.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
MOVIMENTO GNOSTICO CRISTAO UNIVERSAL DO BRASIL NA NOVA ORDEM,,Organização Religiosa,1990.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,BOQUEIRAO,Religião,Religião
DESAFIO JOVEM DE SANTOS,DJS,Fundação Privada,1976.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MARAPE,Assistência social,Assistência social
UNIDOS PRAIA CLUBE,,Associação Privada,1977.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",GONZAGA,Cultura e recreação,Esporte e recreação
O CONSOLADOR NUCLEO ESPIRITA,,Associação Privada,1975.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VL MATHIAS,Religião,Religião
CORUJA R C,,Associação Privada,1976.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",JOSE MENINO,Cultura e recreação,Esporte e recreação
GREMIO SAO LUCAS,,Associação Privada,1976.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",VILA BELMIRO,Cultura e recreação,Esporte e recreação
LIGA REGIONAL DE FUTEBOL DE SALAO DO LITORAL PAULISTA,,Associação Privada,1977.0,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,VILA BELMIRO,Cultura e recreação,Esporte e recreação
GREMIO PRODESAN,,Associação Privada,1977.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos,Outros
GRUPO DE ACAO SOCIAL SANTO ANTONIO,GASSA,Associação Privada,1976.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA BELMIRO,Desenvolvimento e defesa de direitos,Outros
SOCIEDADE ASSISTENCIAL SAO BENEDITO,,Associação Privada,1976.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,EMBARE,Desenvolvimento e defesa de direitos,Outros
IGREJA EVANGELICA TRIUNFANTE,IGREJA EVANGELICA TRIUNFANTE,Associação Privada,1976.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Religião,Religião
OURO VERDE F C,,Associação Privada,1977.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",MARAPE,Cultura e recreação,Esporte e recreação
CLUBE DE MALHA SIQUEIRA CAMPOS,,Associação Privada,1976.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",MACUCO,Cultura e recreação,Esporte e recreação
CENTRO COMUNITARIO MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO,ALENCAR CASTELO BRANCO,Associação Privada,1975.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,APARECIDA,Desenvolvimento e defesa de direitos,Outros
CENTRO COMUN DO CONJ RESI MAL ARTUR DA COSTA E SILVA,,Associação Privada,1976.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,JARDIM CASTELO,Desenvolvimento e defesa de direitos,Outros
IGREJA BATISTA PENIEL,CONGREGACAO PENIEL SANTOS,Organização Religiosa,1991.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA MATHIAS,Religião,Religião
IGREJA BATISTA PENIEL,CONGR DA IGR BATISTA PENIEL QUINTA RENOV DO LITORAL,Organização Religiosa,1993.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,CHICO DE PAULA,Religião,Religião
IGREJA BATISTA PENIEL,CONGR DA IGR BATISTA PENIEL DECIMA TER RENV DO LITORAL,Organização Religiosa,1999.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,CENTRO,Religião,Religião
IGREJA BATISTA PENIEL,CONGREGACAO DA IG BAT PENIEL DECIMA NONA RENOV LITORAL,Organização Religiosa,2001.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
IGREJA BATISTA PENIEL,PENIEL FACE A FACE COM DEUS - SANTOS,Organização Religiosa,2011.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,JOSE MENINO,Religião,Religião
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA DAMASCO,,Associação Privada,1977.0,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",Instituições de longa permanência para idosos,ENCRUZILHADA,Religião,Religião
GREMIO RECREATIVO DOS VIGIAS PORTUARIOS DE SANTOS GRVPS,,Associação Privada,1977.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",ENCRUZILHADA,Cultura e recreação,Esporte e recreação
ASSOCIACAO DE INSTRUCAO POPULAR E BENEFICENCIA,CENTRO SOCIO-COMUNITARIO NOSSA SENHORA DO MONTE SERRAT,Associação Privada,2005.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Religião,Religião
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA LIBERDADE N. 197,,Associação Privada,1979.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Desenvolvimento e defesa de direitos; Religião,Religião
GREMIO DOS GRAFICOS DA BAIXADA SANTISTA,,Associação Privada,1978.0,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,CENTRO,Cultura e recreação,Esporte e recreação
CLUBE FOTO AMIGOS DE SANTOS,CLUBE FOTO AMIGOS,Associação Privada,1979.0,,,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
CONVENCAO DAS IGREJAS EVANGELICAS HOLINESS DO BRASIL,IGREJA EVANGELICA HOLINESS DE SANTOS,Associação Privada,1983.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,BAIRRO ENCRUZILHADA,Religião,Religião
SOCIEDADE DE MELHORAMENTOS DO MORRO DA NOVA CINTRA,,Associação Privada,1979.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,NOVA CINTRA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO SABESP,ASSOC. SABESP - DIR.REG.BX SANTISTA,Associação Privada,1979.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",JOSE MENINO,Cultura e recreação,Esporte e recreação
GRUPO ESPIRITA TRABALHO E AMOR GETA,GETA,Associação Privada,1978.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,AREIA BRANCA,Religião,Religião
MOVIMENTO DE ARREGIMENTACAO FEMININA,,Associação Privada,1978.0,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",Instituições de longa permanência para idosos,JOSE MENINO,Assistência social,Assistência social
GREMIO RECREATIVO E ESPORTIVO DO SIND ENFER DE SANTOS,GRESES,Associação Privada,1978.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",VILA MATHIAS,Cultura e recreação,Esporte e recreação
SOCIEDADE DE MELHORAMENTOS DO JARDIM BOM RETIRO,,Associação Privada,1979.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,JD BOM RETIRO,Desenvolvimento e defesa de direitos,Outros
CONGREGACAO MARIANA DA ANUNCIACAO,,Associação Privada,1978.0,,,APARECIDA,Religião,Religião
COLONIA DOS PESCADORES ZI JOSE BONIFACIO,COLONIA DOS PESCADORES Z I JOSE BONIFACIO,Associação Privada,1979.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
BETH S CLUBE,,Associação Privada,1981.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",VILA RICA,Cultura e recreação,Esporte e recreação
SANTOS SUB ATIVIDADES SUB AQUATICAS,,Associação Privada,1981.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",APARECIDA,Cultura e recreação,Esporte e recreação
ESPORTE CLUBE RODRIMAR,,Associação Privada,1981.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
SOCIEDADE PRO MELHORAMENTOS DA VILA GILDA,,Associação Privada,1981.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,JARDIM CASTELO,Desenvolvimento e defesa de direitos,Outros
ESPORTE CLUBE JUVENTUDE DE NOVA CINTRA,,Associação Privada,1981.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",MORRO NOVA CINTRA,Cultura e recreação,Esporte e recreação
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA XV DE NOVEMBRO 38,,Associação Privada,1981.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATIAS,Desenvolvimento e defesa de direitos; Religião,Religião
CHOROES SANTISTAS CLUBE,,Associação Privada,1981.0,,,JABAQUARA,Cultura e recreação,Esporte e recreação
UNIAO BRASILEIRA DE TROVADORES SECAO SANTOS,,Associação Privada,1981.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
SOCIEDADE AMIGOS DO MORRO DO PACHECO,,Associação Privada,1980.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MORRO DO PACHECO,Desenvolvimento e defesa de direitos,Outros
CENTRO FRATERNO DE AMIZADE,C V V,Associação Privada,1980.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,MACUCO,Assistência social,Assistência social
CENTRO DOS PROPRIETARIOS DE VEICULOS DE SANTOS,,Associação Privada,1981.0,Atividades de organizações associativas patronais e empresariais,Atividades de organizações associativas patronais e empresariais,CENTRO,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
SOC DE MELHORAMENTOS DO BAIRRO DA PONTA DA PRAIA,,Associação Privada,1981.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
SOCIEDADE DE MELHORAMENTOS DO MONTE SERRAT,,Associação Privada,1981.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MORRO DO MONTE SERRAT,Desenvolvimento e defesa de direitos,Outros
ASSOC PRO BENEFICENCIA E MELHORAMENTOS DA VILA ALEMOA,,Associação Privada,1982.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ALEMOA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO MOSAICO DE SANTOS,MOSAICO CLUBE,Associação Privada,1982.0,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,MACUCO,Cultura e recreação,Esporte e recreação
